Name of he course ,Link,Rating,Duration,Level
Cloud Developer using Microsoft Azure,https://www.udacity.com/course/cloud-developer-using-microsoft-azure-nanodegree--nd081,34,1 month, Advanced
Machine Learning Engineer with Microsoft Azure,https://www.udacity.com/course/machine-learning-engineer-for-microsoft-azure-nanodegree--nd00333,67,1 month, Beginner
Digital Transformation for Business Leaders,https://www.udacity.com/course/digital-transformation-for-business-leaders--nd055,na,1 month, Beginner
Growth Product Manager,https://www.udacity.com/course/growth-product-manager-nanodegree--nd037,39,1 month, Intermediate
Cloud Native Application Architecture,https://www.udacity.com/course/cloud-native-application-architecture-nanodegree--nd064,47,1 month, Intermediate
Discovering Business Analytics,https://www.udacity.com/course/discovering-business-analytics--cd11523,na,1 month, Intermediate
Cloud DevOps using Microsoft Azure,https://www.udacity.com/course/cloud-devops-using-microsoft-azure-nanodegree--nd082,62,1 month, Intermediate
Discovering Data Analysis and Visualization,https://www.udacity.com/course/discovering-data-analysis-and-visualization--cd2703,na,1 month, Intermediate
Programming for Data Science with R,https://www.udacity.com/course/programming-for-data-science-nanodegree-with-R--nd118,47,1 month, Intermediate
Ethical Hacker,https://www.udacity.com/course/ethical-hacker-nanodegree--nd350,17,1 month, Intermediate
Security Engineer,https://www.udacity.com/course/security-engineer-nanodegree--nd698,32,1 month, Intermediate
Data Science for Business Leaders,https://www.udacity.com/course/data-science-for-business-leaders--nd045,65,1 month, Intermediate
Data Analysis and Visualization Fluency,https://www.udacity.com/course/data-analysis-and-visualization-fluency--cd5224,na,1 month, Intermediate
Introduction to Python,https://www.udacity.com/course/introduction-to-python--cd0024,na,1 month, Intermediate
Discovering Data Literacy,https://www.udacity.com/course/discovering-data-literacy--cd12066,na,1 week, Intermediate
Introduction to Data,https://www.udacity.com/course/introduction-to-data-analytics-for-business--cd0022,na,1 week, Fluency
Data Engineering with Microsoft Azure,https://www.udacity.com/course/data-engineering-with-microsoft-azure-nanodegree--nd0277,2,1 week, Fluency
Introduction to AI/ML Fluency,https://www.udacity.com/course/intro-to-ai-ml-fluency--cd1930,na,1 week, Fluency
Cloud Architect using Microsoft Azure,https://www.udacity.com/course/cloud-architect-using-microsoft-azure-nanodegree--nd090,4,1 week, Fluency
Digital Project Management,https://www.udacity.com/course/digital-project-management-nanodegree--nd043,11,1 week, Fluency
Business Analytics Fluency,https://www.udacity.com/course/business-analytics-fluency--cd11524,na,1 week, Intermediate
Discovering Cybersecurity,https://www.udacity.com/course/discovering-cybersecurity--cd2017,na,1 week, Beginner
How to Use ChatGPT Fluency,https://www.udacity.com/course/how-to-use-chatgpt--cd13054,na,1 week, Fluency
Discovering Agile,https://www.udacity.com/course/discovering-agile--cd2020,na,1 week, Fluency
