Link,Type,Name,Instructure,Level,Duration,Date created,Rating
https://www.pluralsight.com/courses/spring-data-mongo-getting-started,courses,Spring Data Mongo: Getting Started,by Kesha Williams,Intermediate,1h 11m,07-May-19,35.0
https://www.pluralsight.com/courses/building-business-applications-vuejs,courses,Building Business Applications with Vue.js and MongoDB,by Mark Scott,Intermediate,3h 18m,17-Jul-18,59.0
https://www.pluralsight.com/courses/azure-sql-database-diagnosing-performance-issues-dmvs,courses,Azure SQL Database: Diagnosing Performance Issues with DMVs,by Glenn Berry,Intermediate,1h 30m,05-Sep-19,18.0
https://www.pluralsight.com/courses/sqlserver-2017-diagnosing-performance-issues-dmvs,courses,SQL Server 2017: Diagnosing Performance Issues with DMVs,by Glenn Berry,Intermediate,2h 44m,10-Jan-19,25.0
https://www.pluralsight.com/courses/oracle-database-program-plsql-creating-compound-ddl-event-database-triggers-cert,courses,"Oracle Database Program with PL/SQL Exam Number: 1Z0-149 - Creating Compound, DDL, and Event Database Triggers",by Agaba Philip,Intermediate,41m,23-Feb-22,
https://www.pluralsight.com/courses/sql-server-databases-docker-developing,courses,Developing SQL 14 Server Databases with Docker 20,by Chris Behrens,Intermediate,1h 52m,08-Jun-22,46.0
https://www.pluralsight.com/courses/comptia-itf-plus-software-development-databases-cert,courses,CompTIA ITF+: Software Development and Databases,by Michael Brown,Beginner,2h 20m,19-Aug-22,
https://www.pluralsight.com/courses/ocp-upgrade-oracle-database-12c-management,courses,OCP Upgrade to Oracle Database 12c Management,by Tim Boles,Advanced,2h 39m,01-Oct-21,11.0
https://www.pluralsight.com/courses/amazon-quantum-ledger-database-service-introduction,courses,Amazon Quantum Ledger Database (QLDB) Service Introduction,by AWS,Beginner,7m,08-Feb-21,
https://www.pluralsight.com/courses/importing-data-relational-databases-r,courses,Importing Data from Relational Databases in R 3,by Dan Tofan,Intermediate,1h 44m,19-Apr-22,
https://www.pluralsight.com/courses/accessing-oracle-database-oracle-supplied-tools,courses,Accessing an Oracle Database with Oracle Supplied Tools,by Tim Boles,Intermediate,1h 1m,24-Dec-21,
https://www.pluralsight.com/courses/schema-modeling-patterns-best-practices-document-databases,courses,Schema Modeling Patterns and Best Practices for Document Databases,by Nuri Halperin,Intermediate,1h 46m,18-Dec-19,38.0
https://www.pluralsight.com/courses/android-database-application-sqlite-building-your-first,courses,Building Your First Android Database Application with SQLite,by Simone Alessandria,Intermediate,3h,13-Jan-17,32.0
https://www.pluralsight.com/courses/asp-dot-net-core-6-webapi-using-nosql-databases,courses,Using ASP.NET Core Web API and NoSQL Databases,by Edward Curren,Intermediate,1h 57m,12-Apr-24,21.0
https://www.pluralsight.com/courses/microsoft-azure-solutions-architect-implement-nosql-databases-strategy,courses,Microsoft Azure Solutions Architect: Implement a NoSQL Databases Strategy,by Jurgen Kevelaers,Advanced,56m,10-Nov-20,29.0
https://www.pluralsight.com/courses/oracle-database-program-declaring-variables,courses,Oracle Database Program with PL/SQL Exam Number: 1Z0-149 - Declaring PL/SQL Variables,by Esteban Herrera,Beginner,1h 11m,03-Jan-22,13.0
https://www.pluralsight.com/courses/oracle-database-program-writing-executable-statements,courses,Oracle Database Program with PL/SQL Exam Number: 1Z0-149 - Writing Executable Statements,by Saravanan Dhandapani,Beginner,59m,30-Nov-21,
https://www.pluralsight.com/courses/android-firebase-database-cloud-storage,courses,Firebase on Android: Real-time Database and Cloud Storage,by Mitch Tabian,Intermediate,2h 3m,20-Nov-17,39.0
https://www.pluralsight.com/courses/sql-server-performance-every-developer-should-know,courses,What Every Developer Should Know About SQL Server Performance,by David Berry,Beginner,3h 22m,08-Sep-16,358.0
https://www.pluralsight.com/courses/oracle-database-program-managing-plsql-code-cert,courses,Oracle Database Program with PL/SQL Exam Number: 1Z0-149 - Managing PL/SQL Code,by Pankaj Jain,Intermediate,1h 26m,04-Mar-22,
https://www.pluralsight.com/courses/sql-server-configuring-troubleshooting-database-mirroring,courses,"SQL Server: Understanding, Configuring and Troubleshooting Database Mirroring",by Glenn Berry,Intermediate,2h 31m,09-Feb-18,10.0
https://www.pluralsight.com/courses/oracle-database-program-plsql-creating-packages-cert,courses,Oracle Database Program with PL/SQL Exam Number: 1Z0-149 - Creating Packages,by Pankaj Jain,Advanced,1h 7m,11-Jan-22,
https://www.pluralsight.com/courses/administering-amazon-aurora-amazon-rds,courses,Administering Amazon Aurora on Amazon RDS,by Aaron Medacco,Intermediate,3h 25m,16-Jan-19,51.0
https://www.pluralsight.com/courses/representing-processing-preparing-data,courses,"Representing, Processing, and Preparing Data",by Janani Ravi,Beginner,2h 45m,07-Aug-20,145.0
https://www.pluralsight.com/courses/oracle-database-program-handling-exceptions,courses,Oracle Database Program with PL/SQL Exam Number: 1Z0-149 - Handling Exceptions,by Elias Fofanov,Intermediate,56m,18-Jan-22,
https://www.pluralsight.com/courses/oracle-database-program-using-compile,courses,Oracle Database Program with PL/SQL Exam Number: 1Z0-149 - Using the PL/SQL Compiler,by Esteban Herrera,Intermediate,1h 20m,26-Apr-22,
https://www.pluralsight.com/courses/oracle-database-program-plsql-using-dynamic-sql-cert,courses,Oracle Database Program with PL/SQL Exam Number: 1Z0-149 - Using Dynamic SQL,by Alexandru Huiban,Advanced,51m,14-Mar-22,
https://www.pluralsight.com/courses/aws-database-amazon-elasticache,courses,Connecting and Deploying Amazon ElastiCache,by Tom Compagno,Intermediate,1h 36m,15-May-19,26.0
https://www.pluralsight.com/courses/oracle-database-program-design-considerations-code-cert,courses,Oracle Database Program with PL/SQL Exam Number: 1Z0-149 - Design Considerations for PL/SQL Code,by Pankaj Jain,Advanced,1h 44m,15-Apr-22,
https://www.pluralsight.com/courses/oracle-database-program-plsql-working-packages-cert,courses,Oracle Database Program with PL/SQL Exam Number: 1Z0-149 - Working with Packages,by Pankaj Jain,Advanced,1h 5m,24-Jan-22,
https://www.pluralsight.com/courses/oracle-database-program-creating-functions-cert,courses,Oracle Database Program with PL/SQL Exam Number: 1Z0-149 - Creating Functions,by Elias Fofanov,Advanced,1h 4m,20-Jan-22,
https://www.pluralsight.com/courses/oracle-database-program-using-plsql-subprograms-cert,courses,Oracle Database Program with PL/SQL Exam Number: 1Z0-149 - Using PL/SQL Subprograms,by Lucian Lazar,Intermediate,49m,04-Mar-22,
https://www.pluralsight.com/courses/oracle-database-program-managing-dependencies-cert,courses,Oracle Database Program with PL/SQL Exam Number: 1Z0-149 - Managing Dependencies,by Alexandru Huiban,Intermediate,1h 3m,22-Jun-22,
https://www.pluralsight.com/courses/oracle-database-program-plsql-writing-sql-in-plsql-cert,courses,Oracle Database Program with PL/SQL Exam Number: 1Z0-149 - Writing SQL in PL/SQL,by Ed Freitas,Intermediate,1h 18m,22-Feb-22,
https://www.pluralsight.com/courses/oracle-database-program-plsql-use-explicit-cursors-cert,courses,Oracle Database Program with PL/SQL Exam Number: 1Z0-149 - Use Explicit Cursors,by Saravanan Dhandapani,Beginner,51m,10-Feb-22,
https://www.pluralsight.com/courses/oracle-database-program-procedures-parameters-cert,courses,Oracle Database Program with PL/SQL Exam Number: 1Z0-149 - Creating Procedures and Using Parameters,by Mike McQuillan,Intermediate,1h 6m,29-Nov-21,
https://www.pluralsight.com/courses/oracle-database-program-writing-control-structures-cert,courses,Oracle Database Program with PL/SQL Exam Number: 1Z0-149 - Writing Control Structures,by Pankaj Jain,Intermediate,1h 8m,13-Dec-21,
https://www.pluralsight.com/courses/sql-extensibility-features-snowflake,courses,SQL Extensibility Features with Snowflake 5,by Pinal Dave,Intermediate,1h 2m,21-Mar-22,25.0
https://www.pluralsight.com/courses/sqlserver-improving-storage-subsystem-performance,courses,SQL Server: Improving Storage Subsystem Performance,by Glenn Berry,Intermediate,2h 13m,08-Sep-16,54.0
https://www.pluralsight.com/courses/oracle-database-program-working-composite-data-types-cert,courses,Oracle Database Program with PL/SQL Exam Number: 1Z0-149 - Working with Composite Data Types,by Lucian Lazar,Intermediate,47m,17-Jun-22,
https://www.pluralsight.com/courses/java-persistence-api-21,courses,Java Persistence API 2.2,by Antonio Goncalves,Intermediate,4h 16m,10-May-19,551.0
https://www.pluralsight.com/courses/microsoft-azure-migrating-physical-virtual-servers-update,courses,Migrating Physical and Virtual Servers to Microsoft Azure,by Tim Warner,Advanced,57m,24-Jun-20,58.0
https://www.pluralsight.com/courses/database-applications-jdbc-applications-java-se-11-developer-certification-1z0-819,courses,Database Applications with JDBC in Java SE Applications (Java SE 11 Developer Certification 1Z0-819),by Kevin Jones,Intermediate,1h 34m,01-Apr-21,49.0
https://www.pluralsight.com/courses/aws-amazon-rds,courses,"Creating, Connecting, and Monitoring Databases with Amazon RDS",by Jeff Hopper,Intermediate,1h 49m,20-Feb-19,29.0
https://www.pluralsight.com/courses/servicenow-configuration-management-data-base-building,courses,Building the ServiceNow Configuration Management Database (CMDB),by Pluralsight,Intermediate,58m,30-Jun-22,19.0
https://www.pluralsight.com/courses/sql-server-platform-designing-data-warehouse,courses,Designing a Data Warehouse on the Microsoft SQL Server Platform,by Ana Voicu,Beginner,4h 35m,01-Aug-19,152.0
https://www.pluralsight.com/courses/microsoft-azure-storage-connecting,courses,Microsoft Azure Developer: Connecting to Storage,by Warner Chaves,Beginner,1h 11m,21-Jul-20,53.0
https://www.pluralsight.com/courses/aws-redshift-data-warehousing,courses,Data Warehousing with Amazon Redshift,by John Montgomery,Intermediate,1h 30m,22-Sep-20,52.0
https://www.pluralsight.com/courses/combining-filtering-data-mariadb,courses,Combining and Filtering Data with MariaDB,by Pinal Dave,Beginner,2h 36m,08-Nov-19,12.0
https://www.pluralsight.com/courses/sqlalchemy-core-python-getting-started,courses,SQLAlchemy Core 1 in Python: Getting Started,by Christopher Venturini,Beginner,1h 2m,08-Jun-22,23.0
https://www.pluralsight.com/courses/troubleshooting-optimizing-ssrs-reporting,courses,Troubleshooting and Optimizing SSRS Reporting,by Viktor Suha,Advanced,2h 54m,22-Oct-20,
https://www.pluralsight.com/courses/aws-dynamodb-fundamentals,courses,AWS DynamoDB Fundamentals,by Stefan Roman,Beginner,2h 17m,25-Jun-19,63.0
https://www.pluralsight.com/courses/android-sqlite-fundamentals,courses,Android: SQLite Fundamentals,by Annapurna Siddhartha,Beginner,1h 59m,25-Nov-19,21.0
https://www.pluralsight.com/courses/microsoft-azure-data-integrity-testing-performing,courses,Microsoft Azure Developer: Performing Data Integrity Testing,by Aram Koukia,Advanced,1h 3m,28-Nov-18,14.0
https://www.pluralsight.com/courses/querying-data-mariadb,courses,Querying Data from MariaDB,by Pinal Dave,Beginner,59m,07-Nov-19,16.0
https://www.pluralsight.com/courses/mariadb-functions-playbook,courses,MariaDB Functions Playbook,by Pinal Dave,Advanced,1h 41m,13-Nov-19,11.0
https://www.pluralsight.com/courses/mongodb-nodejs,courses,Using MongoDB with Node.js,by Jonathan Mills,Beginner,1h 18m,23-Dec-19,98.0
https://www.pluralsight.com/courses/modifying-data-in-mongodb,courses,Modifying Data in MongoDB 4,by Douglas Starnes,Intermediate,2h 4m,18-May-22,17.0
https://www.pluralsight.com/courses/ssrs-building-interactive-reports,courses,Building Interactive SSRS Reports,by Alexandra Santiago,Intermediate,2h 59m,15-Jul-19,30.0
https://www.pluralsight.com/courses/querying-data-map-reduce-mongodb,courses,Querying Data Using Map-reduce in MongoDB,by Buddhini Samarakkody,Intermediate,1h 40m,20-Aug-20,22.0
https://www.pluralsight.com/courses/searching-for-text-mongodb,courses,Searching for Text in MongoDB 4,by Axel Sirota,Beginner,1h 39m,02-Mar-22,22.0
https://www.pluralsight.com/courses/tsql-functions-playbook,courses,T-SQL Functions Playbook,by Andrew McSwiggan,Intermediate,3h 4m,23-Jan-20,71.0
https://www.pluralsight.com/courses/managing-ssis-projects,courses,Managing SSIS Projects,by Robert Cain,Intermediate,2h 18m,04-May-20,24.0
https://www.pluralsight.com/courses/introduction-amazon-dynamodb,courses,Introduction to Amazon DynamoDB,by AWS,Beginner,11m,10-Sep-20,34.0
https://www.pluralsight.com/courses/querying-geospatial-data-mongodb,courses,Querying Geospatial Data from MongoDB 4,by Esteban Herrera,Beginner,1h 31m,17-May-22,16.0
https://www.pluralsight.com/courses/sqlserver-2016-upgrading-migrating,courses,SQL Server: Upgrading and Migrating to SQL Server 2016,by Glenn Berry,Intermediate,2h 12m,23-Jan-18,37.0
https://www.pluralsight.com/courses/php-started,courses,PHP 8: Getting Started,by Christian Wenz,Beginner,3h 2m,05-May-22,31.0
https://www.pluralsight.com/courses/nosql-big-pic,courses,NoSQL: The Big Picture,by Andrew Brust,Beginner,1h 10m,08-Sep-16,792.0
https://www.pluralsight.com/courses/introduction-aws-application-discovery-service,courses,Introduction to AWS Application Discovery Service,by AWS,Beginner,20m,22-Sep-20,
https://www.pluralsight.com/courses/experience-summit-empathy-design,courses,This is Such a Pain: The Role of Empathy in Design,by Experience Summit,Beginner,23m,07-Aug-20,
https://www.pluralsight.com/courses/access-2019-pro,courses,Access 2019 Pro,by Shari Oswald,Advanced,3h 10m,06-Nov-19,
https://www.pluralsight.com/courses/microsoft-azure-app-refactoring,courses,Refactoring an App to Microsoft Azure Apps,by Michael Teske,Intermediate,1h 7m,11-Dec-19,26.0
